"horizon","model","n","max_forecast_rv","p99_ratio","pct_ratio_gt_10","pct_ratio_lt_0_1"
1,"GARCH_11",608,48.1513221628738,14.2536372740767,0.03125,0.00164473684210526
5,"GARCH_11",608,48.0217103881751,4.54761748522978,0,0
10,"GARCH_11",608,47.8651104176553,4.38323865979954,0,0
1,"HAR_J",608,49.2644732338907,14.1519487735161,0.0213815789473684,0.00164473684210526
5,"HAR_J",608,28.1673608134884,4.51867289990316,0,0
10,"HAR_J",608,21.8402666191959,4.42561967879406,0,0
1,"HAR_RV",608,50.7798219552011,13.4557798883116,0.0213815789473684,0.00164473684210526
5,"HAR_RV",608,29.0013619867455,4.4327032593715,0,0
10,"HAR_RV",608,22.4190907935942,4.38335430195611,0,0
1,"HARQ",608,36.3714385083952,12.9991543697187,0.0180921052631579,0.00164473684210526
5,"HARQ",608,24.1801300396076,4.36935296746897,0,0
10,"HARQ",608,22.3192882476376,4.27243811078897,0,0
1,"HARQ_F",608,37.1949166601087,12.9481222705256,0.0197368421052632,0.00164473684210526
5,"HARQ_F",608,25.0543761670281,4.15754545725034,0,0
10,"HARQ_F",608,21.1651259660298,3.96991186065503,0,0
1,"HEAVY_RM",608,70.2710605099228,12.9174687094115,0.0164473684210526,0.00164473684210526
5,"HEAVY_RM",608,43.0555114768087,4.77289311798713,0,0
10,"HEAVY_RM",608,28.6656444724166,4.87014224074129,0,0
1,"REALGARCH",608,33.3553913002317,10.8454263336861,0.0148026315789474,0.00164473684210526
5,"REALGARCH",608,33.7344578381826,3.38315750391545,0.00164473684210526,0
10,"REALGARCH",608,41.5165379868466,3.47509401774921,0.00164473684210526,0
