strategy,cost_bps,CAGR,ann_vol,Sharpe,max_drawdown,annual_turnover
BUY_HOLD,0,-0.130939,0.439225,-0.09993,-0.529718,0.649466
TREND,0,0.155061,0.180193,0.889563,-0.133111,21.432384
EWMA_VOL_TARGET,0,-0.023928,0.201844,-0.019275,-0.314658,3.569138
MODEL_VOL_TARGET,0,-0.022901,0.188027,-0.029385,-0.275786,23.764927
RAW_FORECAST_Z,0,-0.038317,0.409244,0.108342,-0.467825,53.40437
MODEL_MINUS_EWMA_Z,0,-0.096219,0.404217,-0.048534,-0.484914,59.006388
VOL_CHANGE_Z,0,-0.088039,0.432826,0.00282,-0.512406,98.089092
MODEL_DISAGREEMENT,0,-0.096791,0.375212,-0.084302,-0.452079,56.072667
ERROR_ADJUSTED_VOL_TARGET,0,-0.011465,0.201997,0.043657,-0.283294,29.492636
COMPRESSION_BREAKOUT,0,-0.013944,0.097214,-0.096051,-0.121288,6.494662
VOL_STATE_MACHINE,0,-0.056795,0.35624,0.013519,-0.401305,106.623142
TREND_EWMA,0,0.091155,0.10643,0.872703,-0.078972,13.409303
TREND_MODEL_VOL,0,0.07771,0.09028,0.874,-0.069828,16.956442
TREND_X_VOL_Z,0,0.183003,0.192071,0.970314,-0.130672,35.650686
TREND_X_VOL_Z_X_CHANGE,0,0.154525,0.188601,0.855606,-0.135142,51.605254
BUY_HOLD,2,-0.131052,0.439226,-0.100225,-0.529718,0.649466
TREND,2,0.150145,0.180082,0.866308,-0.135873,21.432384
EWMA_VOL_TARGET,2,-0.024625,0.201846,-0.022811,-0.314976,3.569138
MODEL_VOL_TARGET,2,-0.027532,0.188013,-0.054667,-0.278369,23.764927
RAW_FORECAST_Z,2,-0.048531,0.409225,0.082247,-0.471978,53.40437
MODEL_MINUS_EWMA_Z,2,-0.106815,0.40418,-0.077736,-0.487756,59.006388
VOL_CHANGE_Z,2,-0.105726,0.432714,-0.042516,-0.519458,98.089092
MODEL_DISAGREEMENT,2,-0.106851,0.375162,-0.114206,-0.456189,56.072667
ERROR_ADJUSTED_VOL_TARGET,2,-0.017275,0.201977,0.014457,-0.28611,29.492636
COMPRESSION_BREAKOUT,2,-0.015225,0.097225,-0.109401,-0.121642,6.494662
VOL_STATE_MACHINE,2,-0.076722,0.356299,-0.046333,-0.410567,106.623142
TREND_EWMA,2,0.088241,0.106362,0.84804,-0.080855,13.409303
TREND_MODEL_VOL,2,0.074068,0.090221,0.836985,-0.07193,16.956442
TREND_X_VOL_Z,2,0.174628,0.191946,0.933803,-0.134605,35.650686
TREND_X_VOL_Z_X_CHANGE,2,0.142695,0.188492,0.801346,-0.1397,51.605254
BUY_HOLD,5,-0.131222,0.439228,-0.100669,-0.529718,0.649466
TREND,5,0.142808,0.179924,0.831334,-0.139999,21.432384
EWMA_VOL_TARGET,5,-0.025669,0.201848,-0.028116,-0.315452,3.569138
MODEL_VOL_TARGET,5,-0.034438,0.187994,-0.092597,-0.282227,23.764927
RAW_FORECAST_Z,5,-0.063649,0.409198,0.043099,-0.478147,53.40437
MODEL_MINUS_EWMA_Z,5,-0.122478,0.404126,-0.12155,-0.49199,59.006388
VOL_CHANGE_Z,5,-0.131619,0.432551,-0.110563,-0.529847,98.089092
MODEL_DISAGREEMENT,5,-0.121733,0.375091,-0.159075,-0.462296,56.072667
ERROR_ADJUSTED_VOL_TARGET,5,-0.025927,0.201948,-0.029353,-0.290313,29.492636
COMPRESSION_BREAKOUT,5,-0.017144,0.097246,-0.129413,-0.122174,6.494662
VOL_STATE_MACHINE,5,-0.10583,0.356393,-0.136073,-0.424193,106.623142
TREND_EWMA,5,0.083883,0.106267,0.810949,-0.083673,13.409303
TREND_MODEL_VOL,5,0.068627,0.090137,0.781329,-0.075074,16.956442
TREND_X_VOL_Z,5,0.162175,0.191768,0.878897,-0.140474,35.650686
TREND_X_VOL_Z_X_CHANGE,5,0.125175,0.188343,0.719781,-0.146942,51.605254
BUY_HOLD,10,-0.131505,0.439231,-0.101407,-0.529718,0.649466
TREND,10,0.130678,0.179682,0.772812,-0.146836,21.432384
EWMA_VOL_TARGET,10,-0.027407,0.201852,-0.036956,-0.316246,3.569138
MODEL_VOL_TARGET,10,-0.045839,0.187963,-0.155829,-0.288611,23.764927
RAW_FORECAST_Z,10,-0.088317,0.409158,-0.022158,-0.48827,53.40437
MODEL_MINUS_EWMA_Z,10,-0.147977,0.404041,-0.194595,-0.49897,59.006388
VOL_CHANGE_Z,10,-0.173125,0.432287,-0.224084,-0.546668,98.089092
MODEL_DISAGREEMENT,10,-0.145992,0.374982,-0.233888,-0.472324,56.072667
ERROR_ADJUSTED_VOL_TARGET,10,-0.040179,0.201903,-0.102396,-0.297265,29.492636
COMPRESSION_BREAKOUT,10,-0.020335,0.097294,-0.162726,-0.123059,6.494662
VOL_STATE_MACHINE,10,-0.152328,0.356565,-0.285521,-0.447996,106.623142
TREND_EWMA,10,0.076658,0.10612,0.74889,-0.088352,13.409303
TREND_MODEL_VOL,10,0.059618,0.09001,0.688238,-0.080291,16.956442
TREND_X_VOL_Z,10,0.141705,0.1915,0.787042,-0.150636,35.650686
TREND_X_VOL_Z_X_CHANGE,10,0.096559,0.188134,0.58343,-0.158945,51.605254
BUY_HOLD,25,-0.132355,0.439243,-0.103622,-0.529718,0.649466
TREND,25,0.09502,0.179125,0.59574,-0.167042,21.432384
EWMA_VOL_TARGET,25,-0.032604,0.201865,-0.063475,-0.318621,3.569138
MODEL_VOL_TARGET,25,-0.079247,0.18788,-0.345633,-0.307428,23.764927
RAW_FORECAST_Z,25,-0.15851,0.409066,-0.217991,-0.519765,53.40437
MODEL_MINUS_EWMA_Z,25,-0.220138,0.403822,-0.413881,-0.523094,59.006388
VOL_CHANGE_Z,25,-0.286163,0.431558,-0.565398,-0.599446,98.089092
MODEL_DISAGREEMENT,25,-0.214851,0.37472,-0.45851,-0.503523,56.072667
ERROR_ADJUSTED_VOL_TARGET,25,-0.081703,0.201786,-0.321692,-0.318569,29.492636
COMPRESSION_BREAKOUT,25,-0.029856,0.097536,-0.262203,-0.126987,6.494662
VOL_STATE_MACHINE,25,-0.277873,0.35719,-0.73278,-0.525785,106.623142
TREND_EWMA,25,0.055259,0.105778,0.561156,-0.102253,13.409303
TREND_MODEL_VOL,25,0.033035,0.089728,0.406937,-0.095773,16.956442
TREND_X_VOL_Z,25,0.082383,0.190915,0.509351,-0.181076,35.650686
TREND_X_VOL_Z_X_CHANGE,25,0.014938,0.187803,0.172282,-0.204443,51.605254
BUY_HOLD,50,-0.133773,0.439269,-0.107312,-0.529718,0.649466
TREND,50,0.037962,0.178759,0.297222,-0.213047,21.432384
EWMA_VOL_TARGET,50,-0.041204,0.20189,-0.107664,-0.322562,3.569138
MODEL_VOL_TARGET,50,-0.13236,0.187779,-0.662215,-0.342176,23.764927
RAW_FORECAST_Z,50,-0.263754,0.409009,-0.544446,-0.576931,53.40437
MODEL_MINUS_EWMA_Z,50,-0.327147,0.403574,-0.779659,-0.582182,59.006388
VOL_CHANGE_Z,50,-0.4414,0.430557,-1.136262,-0.68119,98.089092
MODEL_DISAGREEMENT,50,-0.317586,0.374504,-0.833088,-0.56258,56.072667
ERROR_ADJUSTED_VOL_TARGET,50,-0.146977,0.20165,-0.687552,-0.36491,29.492636
COMPRESSION_BREAKOUT,50,-0.045552,0.098264,-0.425495,-0.137923,6.494662
VOL_STATE_MACHINE,50,-0.447333,0.358594,-1.473253,-0.655548,106.623142
TREND_EWMA,50,0.020497,0.10554,0.24479,-0.124979,13.409303
TREND_MODEL_VOL,50,-0.009829,0.089589,-0.065605,-0.125012,16.956442
TREND_X_VOL_Z,50,-0.009872,0.190669,0.042567,-0.253189,35.650686
TREND_X_VOL_Z_X_CHANGE,50,-0.108019,0.18824,-0.513483,-0.310856,51.605254
