strategy,common_vol_scale,CAGR,ann_vol,Sharpe,max_drawdown
TREND_X_VOL_Z,1.0444,0.14748,0.2,0.78704,-0.1571
TREND,1.1131,0.14419,0.2,0.77281,-0.1629
TREND_EWMA,1.85,0.14221,0.2,0.76403,-0.1624
TREND_MODEL_VOL,2.222,0.12496,0.2,0.68824,-0.1749
TREND_X_VOL_Z_X_CHANGE,1.0631,0.10166,0.2,0.58343,-0.1686
RAW_FORECAST_Z,0.4888,-0.02408,0.2,-0.02216,-0.2686
EWMA_VOL_TARGET,0.9758,-0.03134,0.2,-0.05942,-0.3174
BUY_HOLD,0.4553,-0.03945,0.2,-0.10141,-0.2763
ERROR_ADJUSTED_VOL_TARGET,0.9906,-0.03963,0.2,-0.1024,-0.2948
MODEL_VOL_TARGET,1.064,-0.04985,0.2,-0.15583,-0.3046
MODEL_MINUS_EWMA_Z,0.4958,-0.05112,0.2,-0.16259,-0.2781
COMPRESSION_BREAKOUT,2.0556,-0.05107,0.2,-0.16273,-0.2394
VOL_CHANGE_Z,0.4627,-0.06271,0.2,-0.22408,-0.2942
MODEL_DISAGREEMENT,0.5334,-0.06455,0.2,-0.23389,-0.2796
VOL_STATE_MACHINE,0.5609,-0.07417,0.2,-0.28552,-0.275
